dates,mean,p2.5,p25,p75,p97.5
27/09/21,748.303317535545,665.0,719.0,776.0,826.25
28/09/21,782.6255924170616,692.0,752.5,810.0,888.75
29/09/21,813.1421800947867,735.5,784.0,841.5,881.75
30/09/21,852.2464454976304,760.25,817.0,887.5,946.25
01/10/21,884.0616113744076,799.75,846.5,919.0,992.0
02/10/21,926.6398104265403,813.0,885.0,968.0,1053.5
03/10/21,970.5213270142181,867.25,921.5,1018.0,1109.75
04/10/21,1008.8056872037914,865.0,957.0,1057.0,1164.0
05/10/21,1050.9905213270142,912.25,994.0,1102.0,1195.0
06/10/21,1100.0236966824646,927.75,1046.0,1162.0,1265.25
07/10/21,1149.7109004739336,959.0,1080.0,1224.5,1354.0
08/10/21,1198.7677725118483,1001.0,1117.0,1273.0,1412.0
09/10/21,1252.5118483412323,1028.75,1170.0,1335.0,1471.75
10/10/21,1302.8530805687203,1035.5,1212.0,1394.5,1565.75
11/10/21,1360.7298578199052,1079.25,1257.5,1474.0,1648.25
12/10/21,1416.563981042654,1094.5,1298.5,1541.5,1699.0
13/10/21,1478.6682464454977,1121.0,1362.5,1615.5,1806.25
14/10/21,1539.947867298578,1158.25,1402.5,1699.5,1893.25
15/10/21,1607.0710900473935,1189.25,1477.0,1792.0,1959.75
16/10/21,1673.085308056872,1200.5,1516.0,1873.0,2059.5
17/10/21,1748.5071090047393,1232.0,1575.5,1971.0,2203.0
18/10/21,1822.4502369668246,1266.25,1645.0,2052.5,2273.5
19/10/21,1902.862559241706,1289.0,1703.5,2178.5,2444.0
20/10/21,1979.8436018957345,1324.5,1757.0,2269.0,2488.0
21/10/21,2073.3175355450235,1375.0,1840.5,2384.0,2642.25
22/10/21,2160.4123222748817,1435.25,1906.0,2508.5,2792.25
23/10/21,2247.436018957346,1472.75,1977.0,2623.0,2894.5
24/10/21,2346.0,1498.0,2041.5,2746.5,3061.25
25/10/21,2445.0284360189576,1540.75,2140.5,2889.5,3197.25
26/10/21,2550.5924170616113,1576.0,2220.5,3019.5,3394.5
27/10/21,2660.9146919431278,1620.25,2302.0,3186.0,3550.5
28/10/21,2765.4928909952605,1632.25,2366.0,3314.0,3672.75
29/10/21,2884.7535545023698,1681.75,2463.5,3489.5,3840.5
30/10/21,3002.1184834123223,1738.25,2553.0,3658.0,4013.75
31/10/21,3128.1611374407585,1770.25,2649.5,3818.5,4245.25
01/11/21,3262.478672985782,1840.0,2758.0,4011.0,4422.0
02/11/21,3398.895734597156,1897.75,2836.5,4226.0,4610.5
03/11/21,3542.862559241706,1937.75,2935.5,4426.5,4901.75
04/11/21,3686.995260663507,1945.25,3048.5,4617.0,5087.75
05/11/21,3839.857819905213,2023.0,3162.0,4839.5,5320.0
