dates,mean,p2.5,p25,p75,p97.5
20/09/21,8.928571428571429,7.642857142857142,8.392857142857142,9.928571428571429,11.928571428571429
21/09/21,8.964285714285715,7.4107142857142865,8.160714285714286,10.464285714285715,13.464285714285715
22/09/21,8.982142857142858,6.732142857142858,8.044642857142858,11.607142857142858,14.757142857142878
23/09/21,9.928571428571429,7.049107142857143,8.455357142857142,11.803571428571429,16.49107142857143
24/09/21,9.964285714285715,6.9888392857142865,8.441964285714285,12.870535714285715,16.745535714285715
25/09/21,10.966517857142858,6.958705357142858,8.997767857142858,13.919642857142858,17.857142857142858
26/09/21,10.983258928571429,6.943638392857142,8.998883928571429,13.959821428571429,19.516071428571454
27/09/21,12.0,7.428571428571429,9.0,14.0,19.0
28/09/21,12.0,7.428571428571429,10.0,15.0,20.0
29/09/21,13.0,7.928571428571429,11.0,16.0,22.0
30/09/21,14.0,7.928571428571429,11.0,17.0,23.0
01/10/21,14.0,8.428571428571429,12.0,17.0,23.0
02/10/21,16.0,8.428571428571429,13.0,19.0,25.0
03/10/21,17.0,8.428571428571429,13.0,20.0,27.0
04/10/21,18.0,8.428571428571429,14.0,21.0,29.0
05/10/21,18.0,9.0,15.0,22.0,29.0
06/10/21,19.0,9.400000000000002,16.0,23.0,31.0
07/10/21,21.0,10.0,16.0,25.0,33.0
08/10/21,22.0,11.0,17.0,26.0,35.0
09/10/21,23.0,11.0,18.0,28.0,36.0
10/10/21,24.0,12.0,19.0,30.0,40.0
11/10/21,25.0,13.0,20.0,31.0,42.0
12/10/21,27.0,13.0,21.0,33.0,44.60000000000002
13/10/21,29.0,14.0,22.0,35.0,48.0
14/10/21,31.0,14.400000000000002,23.0,38.0,50.60000000000002
15/10/21,33.0,15.0,24.0,41.0,54.60000000000002
16/10/21,34.0,15.0,25.0,43.0,59.60000000000002
17/10/21,37.0,16.0,27.0,46.0,61.60000000000002
18/10/21,39.0,17.0,28.0,50.0,66.0
19/10/21,41.0,16.400000000000002,29.0,53.0,70.0
20/10/21,44.0,19.0,32.0,56.0,75.0
21/10/21,47.0,18.0,33.0,60.0,80.0
22/10/21,51.0,19.0,34.0,66.0,84.0
23/10/21,54.0,20.0,35.0,70.0,91.60000000000002
24/10/21,58.0,20.0,36.0,73.0,100.0
25/10/21,62.0,21.0,37.0,79.0,106.0
26/10/21,64.0,22.0,39.0,85.0,117.0
27/10/21,69.0,22.400000000000002,40.0,91.0,123.0
28/10/21,73.0,24.0,42.0,99.0,132.60000000000002
29/10/21,78.0,25.0,45.0,104.0,142.60000000000002
30/10/21,86.0,26.0,46.0,115.0,151.60000000000002
31/10/21,89.0,26.400000000000002,49.0,122.0,159.0
01/11/21,94.0,27.0,50.0,130.0,176.60000000000002
02/11/21,103.0,30.0,52.0,141.0,190.20000000000005
03/11/21,107.0,29.0,54.0,150.0,204.0
04/11/21,115.0,32.0,55.0,160.0,219.60000000000002
05/11/21,119.0,32.0,58.0,172.0,233.4000000000001
06/11/21,129.0,31.0,61.0,183.0,251.60000000000002
07/11/21,135.0,34.0,63.0,201.0,271.20000000000005
08/11/21,139.0,35.0,64.0,215.0,292.20000000000005
09/11/21,146.0,36.0,67.0,230.0,320.0
