dates,mean,p2.5,p25,p75,p97.5
26/07/21,105.71428571428602,105.714285714286,105.714285714286,105.714285714286,105.714285714286
27/07/21,112.09067563750307,106.0357142857145,109.7857142857145,114.2857142857145,119.0357142857145
28/07/21,112.46341901851531,98.00000000000013,107.00000000000013,117.68750000000013,128.3750000000001
29/07/21,111.16445592370515,91.27678571428578,103.52678571428578,118.07366071428578,134.15178571428578
30/07/21,109.71627600488563,84.87165178571432,100.69196428571432,118.27008928571432,135.84821428571433
31/07/21,110.27463261729285,91.02734375000003,100.41210937500003,118.24316406250003,138.88964843750003
01/08/21,110.8526346284985,93.94792829241072,101.69988141741072,118.17278180803572,139.49065290178572
02/08/21,109.18410003255377,84.64026750837054,98.42237200055804,119.09552873883929,139.76868547712053
03/08/21,109.31799388818983,84.0,99.0,119.0,141.0
04/08/21,109.74797770986878,85.0,99.0,119.0,142.0
05/08/21,110.63023548445084,87.0,100.0,120.0,144.0
06/08/21,111.11468632033076,86.0,101.0,120.0,144.0
07/08/21,111.85457486967464,87.0,101.0,121.0,147.0
08/08/21,112.53406435376596,88.0,101.0,122.0,146.0
09/08/21,113.50458385763078,89.0,103.0,123.0,147.0
10/08/21,114.37479777098687,91.0,103.0,123.0,149.0
11/08/21,115.44993708430702,92.0,105.0,125.0,150.0
12/08/21,116.8211396728384,94.0,106.0,126.0,151.0
13/08/21,117.89232428545749,95.0,107.0,127.0,153.0
14/08/21,119.13571813769549,96.0,108.0,128.0,154.0
15/08/21,120.35142908502607,98.0,110.0,129.0,155.0
16/08/21,121.95056624123674,100.0,111.0,131.0,157.0
17/08/21,123.51303253640123,101.0,113.0,132.0,158.0
18/08/21,124.88297681107316,103.0,114.0,133.0,160.0
19/08/21,126.61118101743664,106.0,116.0,135.0,161.0
20/08/21,128.19072442926478,107.0,118.0,136.0,163.0
21/08/21,130.11414704296243,109.0,120.0,139.0,165.0
22/08/21,131.80891605248965,112.0,121.0,140.0,166.94999999999982
23/08/21,133.60902390796332,114.0,123.0,141.0,168.0
24/08/21,135.3481934208161,116.0,125.0,143.0,170.0
25/08/21,137.26963868416323,118.0,127.0,145.0,172.0
26/08/21,139.24609023907962,120.0,129.0,146.0,173.0
27/08/21,141.37335969800466,123.0,131.0,148.0,177.0
28/08/21,143.27808736293366,125.0,134.0,150.0,177.0
29/08/21,145.3893582599317,128.0,136.0,152.0,179.0
30/08/21,147.44544310623763,130.0,138.0,154.0,181.0
31/08/21,149.73575408952004,133.0,140.0,156.0,184.0
01/09/21,151.80460183354305,135.0,142.0,158.0,185.0
02/09/21,153.99838216789502,138.0,145.0,160.0,186.0
03/09/21,156.3131403918749,140.0,147.0,162.5,189.0
04/09/21,158.38917850080892,143.0,149.0,164.0,190.0
05/09/21,160.90490742405177,146.0,152.0,167.0,192.0
06/09/21,163.06866798490023,148.0,154.0,169.0,194.0
07/09/21,165.42638863922343,151.0,157.0,171.0,196.0
08/09/21,167.8276110012583,154.0,159.0,173.0,198.0
09/09/21,170.313859428366,156.0,162.0,176.0,201.0
