dates,mean,p2.5,p25,p75,p97.5
30/08/21,231.57142857142895,231.57142857142898,231.57142857142898,231.57142857142898,231.57142857142898
31/08/21,226.22042218949454,204.2857142857145,217.7857142857145,234.5357142857145,253.7857142857145
01/09/21,226.80522827687793,190.08035714285725,212.01785714285725,240.89285714285725,269.5803571428572
02/09/21,231.22177221404033,186.8839285714286,214.0089285714286,247.6964285714286,284.4464285714286
03/09/21,233.18777614138438,187.9107142857143,212.7544642857143,253.0669642857143,284.47321428571433
04/09/21,238.35505645557194,189.11941964285717,220.36160714285717,257.65848214285717,291.80691964285717
05/09/21,246.1263576951399,194.58705357142858,222.64174107142858,265.95424107142856,302.37611607142856
06/09/21,249.25594087506136,195.78180803571428,227.03571428571428,269.6997767857143,308.1470424107143
07/09/21,255.53264604810997,201.0,230.0,275.5,327.5
08/09/21,260.59450171821305,198.5,236.5,281.0,339.25
09/09/21,265.9381443298969,202.25,239.5,284.0,348.25
10/09/21,272.88316151202747,204.5,247.0,296.5,348.75
11/09/21,280.7113402061856,206.0,251.5,307.5,378.5
12/09/21,288.12027491408935,218.5,254.0,311.0,391.75
13/09/21,297.4707903780069,226.0,264.0,318.5,450.75
14/09/21,309.4295532646048,222.25,274.0,329.0,466.0
15/09/21,319.35395189003435,239.0,276.5,344.5,498.75
16/09/21,331.0962199312715,237.5,291.5,353.0,539.0
17/09/21,346.5085910652921,251.5,298.0,367.0,567.25
18/09/21,360.1546391752577,262.0,309.0,386.5,583.75
19/09/21,381.31615120274915,261.25,322.0,404.5,643.25
20/09/21,400.68384879725085,273.75,332.5,435.0,681.75
21/09/21,422.9209621993127,288.25,354.0,453.5,727.75
22/09/21,450.5635738831615,296.25,367.0,493.0,759.0
23/09/21,477.5979381443299,301.0,391.5,528.5,828.0
24/09/21,510.88659793814435,325.5,421.0,566.0,869.75
25/09/21,545.9037800687286,334.25,443.0,604.5,946.75
26/09/21,583.7903780068729,368.5,478.5,650.5,1030.5
27/09/21,627.2439862542956,388.25,512.0,698.5,1096.0
28/09/21,670.8419243986255,417.0,546.0,746.0,1167.5
29/09/21,716.2508591065292,440.75,586.5,800.0,1241.25
30/09/21,767.4707903780069,466.0,628.0,862.0,1329.0
01/10/21,824.680412371134,507.0,679.0,915.0,1438.25
02/10/21,878.1099656357388,551.0,729.0,970.0,1524.25
03/10/21,940.1649484536083,592.5,776.5,1045.0,1566.5
04/10/21,1004.9828178694158,623.75,836.0,1116.5,1744.75
05/10/21,1071.7628865979382,660.5,890.5,1180.0,1822.0
06/10/21,1146.8350515463917,730.0,956.0,1276.0,1921.25
07/10/21,1228.0824742268042,779.75,1029.5,1358.5,2026.5
08/10/21,1309.725085910653,836.5,1110.0,1452.5,2198.5
09/10/21,1401.0343642611683,889.5,1177.0,1535.0,2373.75
10/10/21,1497.7628865979382,917.5,1262.5,1654.5,2563.5
11/10/21,1592.1786941580756,969.75,1342.0,1743.0,2685.75
12/10/21,1702.2199312714777,1083.0,1433.0,1885.0,2822.25
13/10/21,1816.426116838488,1135.0,1525.0,2018.0,2996.25
14/10/21,1937.683848797251,1220.5,1630.0,2151.5,3276.25
15/10/21,2075.2955326460483,1302.75,1733.0,2329.5,3436.25
16/10/21,2206.938144329897,1361.75,1854.5,2470.5,3708.0
17/10/21,2356.044673539519,1458.5,1995.0,2657.0,3961.0
18/10/21,2515.106529209622,1594.0,2129.0,2810.5,4202.0
19/10/21,2681.5807560137455,1680.25,2287.5,3001.0,4479.0
20/10/21,2859.4776632302405,1796.75,2417.5,3167.5,4782.0
21/10/21,3048.4123711340208,1946.5,2558.0,3379.5,5032.75
22/10/21,3243.3367697594504,2030.75,2755.5,3593.0,5311.75
23/10/21,3466.8419243986255,2169.25,2966.5,3900.0,5696.25
24/10/21,3689.536082474227,2339.0,3127.0,4122.5,5985.25
25/10/21,3930.508591065292,2444.5,3351.0,4427.0,6381.25
26/10/21,4184.996563573884,2574.5,3549.0,4731.5,6735.5
27/10/21,4461.309278350515,2738.75,3777.5,5051.0,7108.5
28/10/21,4745.439862542956,2877.5,4002.5,5374.5,7568.75
29/10/21,5055.673539518901,3162.5,4256.0,5711.5,7978.5
30/10/21,5376.584192439863,3264.0,4564.0,6104.5,8415.25
31/10/21,5724.773195876289,3545.0,4860.0,6478.5,8890.25
01/11/21,6090.563573883162,3718.0,5157.5,6965.0,9352.75
02/11/21,6466.642611683848,3971.5,5511.5,7457.0,9847.75
03/11/21,6846.20618556701,4144.25,5815.5,7852.0,10171.75
04/11/21,7256.7972508591065,4511.25,6166.0,8416.0,10342.5
05/11/21,7648.07560137457,4615.75,6506.0,8943.5,10500.5
06/11/21,8048.041237113402,5005.75,6977.5,9392.0,10407.25
