dates,mean,p2.5,p25,p75,p97.5
11/12/21,24019.61030288576,19167.507142857143,22136.500000000004,26449.428571428572,28216.457142857133
12/12/21,24413.098974481276,19665.45714285714,22621.57142857143,26783.428571428565,28408.0857142857
13/12/21,24769.537578295272,20078.362376237623,23028.147100424325,27054.00428571428,28725.44607142858
14/12/21,25088.13393258705,20382.48351002002,23286.092399904766,27312.5,29111.46807142858
15/12/21,25366.944276308965,20628.888340120295,23432.12600700461,27599.776780928576,29437.929435735718
16/12/21,25604.871090924626,20818.836058218036,23522.190457718596,27607.428571428576,29705.513176835568
17/12/21,25800.552684153343,20970.5552136416,23574.329418162757,27651.785714285717,29914.29847882481
18/12/21,25953.37631431528,21097.587523924667,23808.987103565632,27680.714285714283,30080.713533353995
19/12/21,26062.456280044862,21194.885207010357,24385.10593490132,27642.071428571428,30182.478740568855
20/12/21,26126.973684599176,21271.901728872774,24947.858294057794,27629.071428571424,30236.10503635385
21/12/21,26146.842784985365,21297.325666095618,24791.40999444101,27796.785714285717,30240.960256434257
22/12/21,26123.060128141515,21287.4024278051,24431.17303636125,28163.60351264483,30228.7971481556
23/12/21,26055.98633851054,21238.870660004497,23984.98244954967,28494.727408005514,30185.20402499205
24/12/21,25945.343008532494,21154.87517556391,23614.136435080476,28784.021007201805,30175.617724413914
25/12/21,25792.50420571178,21035.571748590206,23090.813777579806,29020.972189163007,30129.271813362117
26/12/21,25599.155933977803,20882.38605901823,22567.585113363977,29173.983953174644,30054.399095213717
27/12/21,25367.205169837227,20695.736119145193,22026.244195423853,29051.92128647093,29948.280539005915
28/12/21,25098.359146478684,20477.091326835838,21526.91430061182,28682.69750033107,29791.035586636463
29/12/21,24794.101555957488,20103.946440140757,21067.33893431333,28449.784016309004,29716.169204093443
30/12/21,24456.436499800944,19429.776882726626,20603.467561671718,28547.084776527132,29661.449940518985
31/12/21,24087.90867320311,18721.649937978862,20118.750753580258,28529.40657122754,29600.550484089377
01/01/22,23690.59137955855,18013.30061744913,19634.002492542793,28207.220309908567,29496.44695918817
02/01/22,23266.405136695877,17294.74147160603,19147.085852461594,27776.881943491095,29352.6006728202
03/01/22,22818.675068426724,16594.68807017918,18666.509161897757,27331.02630703223,29168.8403831269
04/01/22,22350.029399448114,15906.528992771953,18196.41272371325,26851.206124753397,28970.971548141628
05/01/22,21862.603877951562,15215.10815061799,17699.14234576345,26337.8337285014,28795.314445402873
06/01/22,21359.24303248679,14539.166934066005,17198.071498957543,25809.859922575415,28567.006269805635
07/01/22,20843.094215636418,13877.937136124327,16680.427126095317,25259.163471412252,28329.8831282904
08/01/22,20316.58178438302,13250.701783369435,16146.886291127521,24688.70483480814,28089.15086039612
09/01/22,19782.98404384768,12620.53583787509,15597.40799113576,24093.740781389624,27826.557643144348
