dates,mean,p2.5,p25,p75,p97.5
08/08/21,152.85714285714306,152.857142857143,152.857142857143,152.857142857143,152.857142857143
09/08/21,146.29381072328187,124.8410714285715,137.9285714285715,154.3035714285715,174.4285714285715
10/08/21,146.87266102914722,115.33303571428574,132.15178571428575,158.96428571428575,195.71428571428575
11/08/21,150.014416156891,110.10714285714289,133.7321428571429,164.1383928571429,207.69151785714277
12/08/21,154.8885053076647,111.74107142857144,135.41294642857144,171.74107142857144,218.33482142857127
13/08/21,160.35510750269884,114.07600446428573,139.43303571428572,177.21428571428572,226.66897321428547
14/08/21,165.87522771230658,113.45050223214285,143.15401785714286,185.48214285714286,243.73253348214283
15/08/21,170.3184289537604,116.28794642857142,146.05357142857142,190.70200892857144,254.3756417410714
16/08/21,176.84005037783376,120.0,150.0,199.0,259.17499999999995
17/08/21,183.62216624685138,124.825,156.0,208.0,279.0
18/08/21,190.39672544080605,123.0,159.0,216.0,287.0
19/08/21,196.28967254408062,129.825,166.0,220.0,291.0
20/08/21,202.91057934508817,129.825,170.0,231.0,305.17499999999995
21/08/21,211.06045340050377,136.825,177.0,239.75,324.0
22/08/21,217.9962216624685,139.825,180.0,247.75,336.17499999999995
23/08/21,226.2292191435768,145.0,186.0,258.75,350.17499999999995
24/08/21,233.5264483627204,148.825,189.0,267.0,364.52499999999986
25/08/21,242.75692695214107,152.0,197.0,280.0,390.17499999999995
26/08/21,251.41309823677582,156.0,201.0,291.0,408.3499999999999
27/08/21,260.4068010075567,161.825,208.25,301.75,415.17499999999995
28/08/21,268.63224181360204,166.0,215.0,313.75,438.0
29/08/21,278.55541561712846,169.0,224.0,325.0,456.0
30/08/21,289.05919395466,177.0,229.0,338.0,476.17499999999995
31/08/21,298.272040302267,179.0,232.0,350.0,495.17499999999995
01/09/21,309.5919395465995,186.82500000000002,240.25,361.75,520.175
02/09/21,322.07934508816123,193.65,251.0,380.75,533.5249999999999
03/09/21,332.4231738035264,196.0,254.0,390.75,562.5249999999999
04/09/21,344.4710327455919,205.825,263.0,406.75,576.175
05/09/21,356.21284634760707,205.825,268.0,423.75,616.6999999999998
06/09/21,368.5566750629723,212.475,277.0,434.0,630.0
07/09/21,382.4433249370277,215.825,286.25,455.0,674.175
08/09/21,397.0566750629723,231.0,297.0,474.0,699.175
09/09/21,411.62468513853906,227.0,304.0,492.0,728.0499999999997
