dates,mean,p2.5,p25,p75,p97.5
06/09/21,5.142857142857142,3.642857142857143,4.142857142857142,5.642857142857142,7.142857142857142
07/09/21,5.071428571428571,2.821428571428571,4.321428571428571,5.821428571428571,8.071428571428571
08/09/21,5.035714285714286,2.4107142857142856,4.160714285714286,5.910714285714286,9.410714285714285
09/09/21,5.017857142857143,2.205357142857143,4.080357142857142,5.955357142857142,9.705357142857142
10/09/21,5.008928571428571,2.1026785714285716,4.040178571428571,5.977678571428571,9.852678571428571
11/09/21,5.004464285714286,2.0513392857142856,4.020089285714286,6.973214285714286,9.188058035714285
12/09/21,5.002232142857143,2.025669642857143,4.010044642857142,6.986607142857142,9.963169642857142
13/09/21,6.0,2.0,4.0,7.0,10.0
14/09/21,5.0,2.0,4.0,7.0,11.0
15/09/21,6.0,2.0,4.0,7.0,11.0
16/09/21,6.0,2.0,4.0,8.0,11.0
17/09/21,6.0,2.0,5.0,8.0,11.0
18/09/21,6.0,3.0,5.0,8.0,11.25
19/09/21,6.0,2.0,5.0,8.0,12.0
20/09/21,7.0,3.0,5.0,8.0,12.0
21/09/21,7.0,3.0,5.0,8.5,13.25
22/09/21,7.0,2.75,5.0,9.5,14.0
23/09/21,7.0,3.0,6.0,10.0,14.0
24/09/21,8.0,3.0,6.0,10.0,15.0
25/09/21,8.0,3.0,6.0,10.0,15.0
26/09/21,8.0,4.0,6.5,11.0,16.25
27/09/21,8.0,4.0,6.0,11.0,17.0
28/09/21,9.0,4.0,7.0,12.0,19.0
29/09/21,9.0,3.0,7.0,12.0,18.0
30/09/21,10.0,4.0,8.0,13.0,21.0
01/10/21,11.0,4.0,8.0,14.0,21.0
02/10/21,11.0,4.0,8.0,15.0,22.0
03/10/21,12.0,4.75,9.0,15.5,24.25
04/10/21,13.0,6.0,10.0,16.0,24.0
05/10/21,13.0,6.0,10.0,17.0,27.0
06/10/21,15.0,6.0,11.0,19.0,27.0
07/10/21,16.0,7.0,12.0,20.0,29.25
08/10/21,16.0,7.0,12.0,21.0,30.0
09/10/21,18.0,9.0,13.0,23.0,33.0
10/10/21,19.0,8.0,14.0,24.0,35.0
11/10/21,20.0,9.0,16.0,26.0,37.25
12/10/21,21.0,10.0,16.0,27.0,41.25
13/10/21,23.0,12.0,18.5,29.0,41.0
14/10/21,25.0,12.0,20.0,30.0,42.0
15/10/21,26.0,12.0,21.0,34.0,45.25
16/10/21,29.0,14.75,23.0,37.0,49.0
17/10/21,30.0,16.0,23.0,37.0,53.0
18/10/21,32.0,16.0,25.0,39.0,55.0
19/10/21,35.0,17.75,28.0,43.0,57.25
20/10/21,37.0,20.0,30.0,46.0,62.25
21/10/21,40.0,20.75,32.0,48.5,65.0
22/10/21,43.0,24.0,35.0,52.0,68.25
23/10/21,46.0,25.0,37.0,55.5,74.25
24/10/21,48.0,26.75,39.0,59.0,76.0
25/10/21,52.0,29.0,43.0,64.0,80.25
26/10/21,56.0,30.75,45.0,68.0,86.0
