dates,mean,p2.5,p25,p75,p97.5
20/09/21,591.3420289855072,507.79999999999995,555.0,622.0,692.0
21/09/21,619.9333333333333,529.0,580.0,656.0,725.0
22/09/21,655.4521739130435,559.1999999999999,617.0,687.0,777.0
23/09/21,696.9072463768116,584.2,653.0,731.0,841.1999999999998
24/09/21,736.2521739130435,618.8,683.0,781.0,895.1999999999999
25/09/21,782.527536231884,655.0,728.0,824.0,950.3999999999995
26/09/21,833.5391304347826,687.8,768.0,886.0,1038.1999999999998
27/09/21,885.0347826086957,711.0,806.0,951.0,1100.0
28/09/21,942.4463768115942,746.8,849.0,1028.0,1190.6
29/09/21,1005.7507246376812,780.8,892.0,1111.0,1316.9999999999998
30/09/21,1068.0028985507247,802.2,938.0,1172.0,1429.4
01/10/21,1141.7217391304348,831.6,991.0,1273.0,1488.8
02/10/21,1216.71884057971,873.8,1043.0,1363.0,1645.1999999999998
03/10/21,1294.359420289855,910.4,1099.0,1469.0,1745.1999999999998
04/10/21,1385.6057971014493,940.6,1133.0,1566.0,1914.1999999999996
05/10/21,1474.255072463768,963.2,1190.0,1702.0,2080.3999999999996
06/10/21,1576.7072463768116,978.0,1245.0,1835.0,2234.5999999999995
07/10/21,1685.7594202898551,1023.2,1291.0,1993.0,2387.7999999999997
08/10/21,1805.3507246376812,1073.8,1369.0,2165.0,2585.2
09/10/21,1929.9188405797101,1118.6,1429.0,2333.0,2837.6
10/10/21,2068.8724637681157,1138.2,1463.0,2539.0,3083.5999999999995
11/10/21,2208.489855072464,1186.6,1535.0,2723.0,3336.199999999999
12/10/21,2359.3739130434783,1207.2,1629.0,2943.0,3669.3999999999996
13/10/21,2522.91884057971,1253.4,1702.0,3175.0,3974.9999999999995
14/10/21,2692.121739130435,1297.0,1754.0,3423.0,4286.799999999998
15/10/21,2886.4811594202897,1340.8,1837.0,3731.0,4715.599999999999
16/10/21,3094.208695652174,1394.2,1905.0,4037.0,5086.4
17/10/21,3307.527536231884,1435.4,1995.0,4351.0,5519.4
18/10/21,3543.6753623188406,1479.2,2090.0,4722.0,5960.4
19/10/21,3784.136231884058,1521.1999999999998,2166.0,5194.0,6466.199999999997
20/10/21,4060.504347826087,1588.0,2251.0,5570.0,7095.399999999999
21/10/21,4346.466666666666,1633.8,2351.0,6028.0,7693.999999999998
22/10/21,4656.144927536232,1697.6,2481.0,6561.0,8309.199999999997
23/10/21,4984.014492753623,1733.0,2577.0,7080.0,9107.2
24/10/21,5337.321739130435,1807.1999999999998,2640.0,7566.0,9803.799999999997
25/10/21,5720.408695652174,1871.2,2761.0,8130.0,10663.399999999998
26/10/21,6118.350724637681,1905.1999999999998,2862.0,8829.0,11512.8
27/10/21,6549.460869565218,1968.6000000000001,2977.0,9503.0,12443.999999999996
28/10/21,7021.707246376812,2045.6,3142.0,10264.0,13446.999999999996
29/10/21,7524.011594202899,2134.0,3233.0,11059.0,14653.399999999994
