dates,mean,p2.5,p25,p75,p97.5
12/06/22,4.0107486013168385,2.2224066889577703,3.2857142857142856,4.6157677386046,6.1543569848061335
13/06/22,3.920920465713272,2.2857142857142856,3.264373517357586,4.4670374448051176,6.185128769730164
14/06/22,3.8146712705959342,2.142857142857143,3.142857142857143,4.428571428571429,5.870718057268879
15/06/22,3.720810509697016,2.1232014957069647,3.0,4.338287976143547,5.782937872199355
16/06/22,3.641942418465725,2.0,2.964786002896499,4.185580239383293,5.580773652511057
17/06/22,3.535037826279791,1.9049598845634308,2.857142857142857,4.142857142857143,5.783948693297788
18/06/22,3.4550346182650276,1.7614752838679624,2.8183604541887397,4.051393152896313,5.4605733799906835
19/06/22,3.34388252182628,1.7767971750514688,2.6554239904309527,3.894621852632064,5.133819714833176
20/06/22,3.245991019444014,1.6012206662298645,2.5714285714285716,3.857142857142857,5.159488813407341
21/06/22,3.1857928171418832,1.6092267695610136,2.5714285714285716,3.754862462309032,5.185286257474377
22/06/22,3.1387410398455415,1.7142857142857142,2.515757849747051,3.7142857142857144,5.031515699494102
23/06/22,3.072258971511713,1.5714285714285714,2.4285714285714284,3.6119094842796944,4.876077803777587
24/06/22,3.023104091250244,1.5087220680858011,2.35947987060571,3.6299690317010924,4.995744879878604
25/06/22,2.967460973279765,1.4285714285714288,2.2857142857142856,3.5714285714285716,4.924960483760456
26/06/22,2.941960258237762,1.4285714285714286,2.383133656308532,3.4830414976817003,4.766267312617064
27/06/22,2.887532399886368,1.5714285714285714,2.2669894045757313,3.4285714285714284,4.868398338637892
28/06/22,2.815443878978563,1.29609015373009,2.221868834965868,3.332803252448803,4.8140491424260485
29/06/22,2.7510113214797687,1.2857142857142858,2.142857142857143,3.2857142857142856,4.652037873209787
30/06/22,2.661358723547384,1.2857142857142858,2.0,3.1792026825515673,4.675298062575835
01/07/22,2.573554696387164,1.2857142857142858,2.0,3.0071517138487764,4.322780588657617
