dates,mean,p2.5,p25,p75,p97.5
12/09/21,447.1829944547135,358.0,399.0,486.0,580.0
13/09/21,473.51756007393715,363.5,420.0,527.0,623.5
14/09/21,498.6580406654344,371.5,434.0,556.0,657.0
15/09/21,528.9038817005545,383.0,449.0,596.0,710.5
16/09/21,560.62292051756,402.5,467.0,639.0,767.5
17/09/21,595.5748613678373,416.5,491.0,681.0,807.0
18/09/21,630.9667282809612,433.5,512.0,727.0,842.0
19/09/21,671.192236598891,455.0,529.0,786.0,914.0
20/09/21,715.3123844731978,469.5,557.0,832.0,977.5
21/09/21,761.2975970425139,472.5,593.0,893.0,1046.5
22/09/21,812.4158964879853,505.5,621.0,955.0,1122.0
23/09/21,868.7578558225508,531.5,671.0,1018.0,1193.5
24/09/21,929.2513863216266,556.0,730.0,1095.0,1276.0
25/09/21,997.3253234750462,583.5,778.0,1167.0,1363.5
26/09/21,1068.822550831793,632.0,847.0,1258.0,1454.5
27/09/21,1145.075785582255,686.5,918.0,1340.0,1549.5
28/09/21,1230.249537892791,713.5,1006.0,1446.0,1648.5
29/09/21,1323.746765249538,797.0,1078.0,1541.0,1792.5
30/09/21,1420.086876155268,845.5,1175.0,1649.0,1911.0
01/10/21,1526.9537892791127,926.0,1283.0,1758.0,2055.5
02/10/21,1637.5323475046212,997.0,1397.0,1881.0,2185.5
03/10/21,1760.4990757855824,1091.0,1504.0,2026.0,2339.0
04/10/21,1893.2828096118299,1197.5,1622.0,2156.0,2519.0
05/10/21,2030.449168207024,1292.5,1747.0,2307.0,2705.5
06/10/21,2182.874306839187,1436.5,1897.0,2465.0,2881.0
07/10/21,2345.9556377079484,1548.0,2042.0,2652.0,3092.5
08/10/21,2516.452865064695,1685.5,2193.0,2824.0,3304.0
09/10/21,2702.184842883549,1850.0,2363.0,3038.0,3548.5
10/10/21,2901.293900184843,1980.5,2535.0,3239.0,3834.5
11/10/21,3113.1608133086875,2160.5,2736.0,3469.0,4110.0
12/10/21,3345.018484288355,2378.5,2923.0,3726.0,4418.5
13/10/21,3587.735674676525,2585.5,3138.0,3985.0,4739.5
14/10/21,3855.3752310536042,2734.0,3369.0,4279.0,5115.5
15/10/21,4136.47134935305,2934.0,3638.0,4576.0,5499.5
16/10/21,4439.981515711645,3182.5,3930.0,4917.0,6032.0
17/10/21,4770.567467652495,3409.5,4224.0,5283.0,6467.5
18/10/21,5122.349353049907,3657.0,4530.0,5669.0,7034.5
19/10/21,5493.123844731977,3863.0,4839.0,6055.0,7546.5
20/10/21,5901.369685767098,4105.5,5181.0,6554.0,8170.0
21/10/21,6326.476894639556,4354.0,5532.0,7010.0,8731.0
